,serialId,date,collarId,latitude,longitude,positionId,species_id,first_scraped,last_scraped,species_name
0,T5HS-7304,2025-11-17T15:30:42Z,16653,-2.276795,34.28995,150675988,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
1,T5HS-7306,2025-11-17T15:30:41Z,16655,-1.459743,34.8242,150675957,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
2,T5HS-7303,2025-11-17T15:30:40Z,16652,-2.289495,34.280628,150675973,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
3,T5HS-7303,2025-11-17T15:30:06Z,16652,-2.289493,34.280533,150675958,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
4,T5HS-7304,2025-11-17T15:30:05Z,16653,-2.276693,34.28992,150675974,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
5,T5HS-7306,2025-11-17T15:30:00Z,16655,-1.459413,34.824107,150675944,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
6,T5HS-5583,2025-11-17T12:30:06Z,13288,-2.40384,34.485333,150674999,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
7,T5HS-7304,2025-11-17T09:31:19Z,16653,-2.26504,34.2919,150675987,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
8,T5HS-6666,2025-11-17T09:31:01Z,14980,-2.0736,35.012907,150673820,2,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Eland
9,T5HS-7306,2025-11-17T09:30:43Z,16655,-1.46068,34.82063,150675954,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
10,T5HS-7303,2025-11-17T09:30:30Z,16652,-2.298707,34.287472,150675972,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
11,T5HS-5583,2025-11-17T06:30:51Z,13288,-2.403165,34.487945,150675010,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
12,T5HS-6666,2025-11-17T03:31:20Z,14980,-2.074017,35.013205,150673830,2,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Eland
13,T5HS-7304,2025-11-17T03:30:47Z,16653,-2.264025,34.302922,150675986,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
14,T5HS-5570,2025-11-17T03:30:42Z,13274,-2.341178,34.404905,150671104,1,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Zebra
15,T5HS-7306,2025-11-17T03:30:42Z,16655,-1.492998,34.833843,150675953,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
16,T5HS-7303,2025-11-17T03:30:30Z,16652,-2.291312,34.300992,150675971,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
17,T5HS-5570,2025-11-17T03:30:06Z,13274,-2.34112,34.404693,150671093,1,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Zebra
18,T5HS-5583,2025-11-17T00:30:43Z,13288,-2.406517,34.488985,150675009,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
19,T5HS-5594,2025-11-16T23:30:36Z,13299,-2.353142,34.442515,150668360,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
20,T5HS-5594,2025-11-16T23:30:06Z,13299,-2.353067,34.44224,150668345,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
21,T5HS-7306,2025-11-16T21:30:51Z,16655,-1.48606,34.841965,150675952,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
22,T5HS-7303,2025-11-16T21:30:42Z,16652,-2.291437,34.308123,150675970,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
23,T5HS-6666,2025-11-16T21:30:41Z,14980,-2.072228,35.012722,150673829,2,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Eland
24,T5HS-7304,2025-11-16T21:30:41Z,16653,-2.288865,34.313128,150675985,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
25,T5HS-5570,2025-11-16T21:30:41Z,13274,-2.34167,34.423655,150671103,1,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Zebra
26,T5HS-7292,2025-11-16T21:30:30Z,16641,-2.001415,34.730855,150662475,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
27,T5HS-7292,2025-11-16T21:30:00Z,16641,-2.001067,34.730667,150662464,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
28,T5HS-5594,2025-11-16T19:30:41Z,13299,-2.349568,34.448545,150668359,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
29,T5HS-5583,2025-11-16T18:30:53Z,13288,-2.406265,34.483572,150675008,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
30,T5HS-6142,2025-11-16T18:30:03Z,14161,-2.281387,34.36672,150661844,1,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Zebra
31,T5HS-7304,2025-11-16T15:30:50Z,16653,-2.285315,34.298518,150675984,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
32,T5HS-7291,2025-11-16T15:30:50Z,16640,-2.18309,34.714573,150660143,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
33,T5HS-5570,2025-11-16T15:30:42Z,13274,-2.338098,34.44045,150671102,1,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Zebra
34,T5HS-7301,2025-11-16T15:30:41Z,16650,-2.373423,34.401648,150660118,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
35,T5HS-7303,2025-11-16T15:30:41Z,16652,-2.291788,34.306843,150675969,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
36,T5HS-5594,2025-11-16T15:30:39Z,13299,-2.337907,34.461178,150668358,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
37,T5HS-7293,2025-11-16T15:30:30Z,16642,-2.282765,34.313677,150660130,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
38,T5HS-7306,2025-11-16T15:30:30Z,16655,-1.486767,34.854732,150675951,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
39,T5HS-7292,2025-11-16T15:30:30Z,16641,-2.002133,34.726777,150662474,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
40,T5HS-7300,2025-11-16T15:30:30Z,16649,-1.956692,34.990005,150660105,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
41,T5HS-7300,2025-11-16T15:30:04Z,16649,-1.95648,34.989653,150660094,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
42,T5HS-7293,2025-11-16T15:30:04Z,16642,-2.282667,34.313387,150660119,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
43,T5HS-7301,2025-11-16T15:30:03Z,16650,-2.37312,34.40128,150660106,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
44,T5HS-7291,2025-11-16T15:30:02Z,16640,-2.182827,34.714453,150660132,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
45,T5HS-5583,2025-11-16T12:30:30Z,13288,-2.405318,34.482303,150675007,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
46,T5HS-5594,2025-11-16T11:30:41Z,13299,-2.311597,34.533078,150668357,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
47,T5HS-7301,2025-11-16T09:30:51Z,16650,-2.372287,34.397445,150660117,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
48,T5HS-7562,2025-11-16T09:30:42Z,17325,-2.350552,34.495062,150658219,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
49,T5HS-7303,2025-11-16T09:30:42Z,16652,-2.324733,34.359307,150675968,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
50,T5HS-7564,2025-11-16T09:30:41Z,17327,-2.068083,34.851963,150658245,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
51,T5HS-5570,2025-11-16T09:30:37Z,13274,-2.331218,34.465657,150671101,1,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Zebra
52,T5HS-7300,2025-11-16T09:30:35Z,16649,-1.960085,34.97797,150660104,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
53,T5HS-7293,2025-11-16T09:30:31Z,16642,-2.274637,34.281045,150660129,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
54,T5HS-7306,2025-11-16T09:30:30Z,16655,-1.477282,34.860892,150675950,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
55,T5HS-7292,2025-11-16T09:30:30Z,16641,-2.001853,34.73242,150662473,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
56,T5HS-7304,2025-11-16T09:30:30Z,16653,-2.27897,34.285833,150675983,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
57,T5HS-7291,2025-11-16T09:30:30Z,16640,-2.110513,34.74988,150660142,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
58,T5HS-7296,2025-11-16T09:30:30Z,16645,-2.395113,34.433943,150658233,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
